VILLE;DEPARTEMENT;CODE INSEE;NOM DU SITE;GROUPE DE DECHETS;SOUS-GROUPE DE DECHETS;DESCRIPTION PHYSIQUE;CATEGORIE;FAMILLE IN;VOLUME EQUIVALENT CONDITIONNE;MAJORATION;ACTIVITE ( Bq);PRINCIPAUX RADIONUCLEIDES
EPOTHEMONT;10;10139;DAHER - MEI;Colis primaire AXD1/AXX0 (fût de 200 litres DIB non compactable);;pulvérulent et/ou déchets de faible granulométrie (EDF) (14 m3 - 3,514 t - 70 unite);TFA;TFA-02;14;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
EPOTHEMONT;10;10139;DAHER - MEI;Colis primaire AXD1/AXX0 (fût de 200 litres DIB non compactable);;pulvérulent et/ou déchets de faible granulométrie (CEA) (0,2 m3 - 0,038 t - 1 unite);TFA;TFA-05;0,2;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
EPOTHEMONT;10;10139;DAHER - MEI;Colis primaire AXD1/AXX0 (fût de 200 litres DIB non compactable);;pulvérulent et/ou déchets de faible granulométrie (médical) (7 m3 - 1 t - 32 unite);TFA;TFA-07;7;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
EPOTHEMONT;10;10139;DAHER - MEI;Colis primaire AXD1/AXX0 (fût de 200 litres DIB non compactable);;pulvérulent et/ou déchets de faible granulométrie (ANDRA Sites Pollués) (0,6 m3 - 0,094 t - 3 unité);TFA;TFA-13;0,6;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
EPOTHEMONT;10;10139;DAHER - MEI;Colis primaire AZI2 (Déchets métalliques contaminés en labile);;Déchets non compactables contaminés (ANDRA Sites Pollués) (5,326 m3 - 2 t - 1 unité);TFA;TFA-13;5,326;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
EPOTHEMONT;10;10139;DAHER - MEI;Conteneurs demi-hauteur injectables en l'état ;;demi-hauteurs injectables (industries diverses) (217,89 m3 - 42,346 t - 12 unite);TFA;TFA-08;217,89;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
EPOTHEMONT;10;10139;DAHER - MEI;Conteneurs IP2 avec des déchets à traiter;;Déchets en vrac à reconditionner et à caractériser (Industries diverses) (274,5 m3 - 338,725 t - 25 unite);TFA;TFA-08;274,5;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
EPOTHEMONT;10;10139;DAHER - MEI;Colis primaire Fût PEHD 120L;;Déchets compactables (Médical) (57,48 m3 - 12,552 t - 479 unité);TFA;TFA-07;57,48;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
EPOTHEMONT;10;10139;DAHER - MEI;Colis primaire Fût PEHD 120L;;Déchets compactables (ANDRA Sites Pollués) (2,76 m3 - 2,843 t - 23 unité);TFA;TFA-13;2,76;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
EPOTHEMONT;10;10139;DAHER - MEI;Colis primaire AXC1 (déchets non compactables);;Déchets non compactables (Autres) (170,1 m3 - 46,464 t - 126 unité);TFA;TFA-08;170,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
EPOTHEMONT;10;10139;DAHER - MEI;Colis primaire FM400L (métalliques);;Déchets métalliques (Médical) (0,8 m3 - 1 t - 2 unité);TFA;TFA-07;0,8;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
EPOTHEMONT;10;10139;DAHER - MEI;Colis primaire FM120L (métalliques);;Déchets métalliques (Médical) (3,12 m3 - 1 t - 26 unité);TFA;TFA-07;3,12;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
EPOTHEMONT;10;10139;DAHER - MEI;Colis primaire FM40L (métalliques);;Déchets Métalliques (Médical) (0,28 m3 - 1 t - 7 unité);TFA;TFA-07;0,28;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
AUDENGE;33;33019;DECHARGE D'AUDENGE - AUDENGE;Benne radioactive;;Terres contaminés (1 Benne);TFA;TFA-09;23;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
AUDENGE;33;33019;DECHARGE D'AUDENGE - AUDENGE;Benne radioactive;;Bande transporteuse (1 NC);FA-VL;DIV6-09;9;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
AUDENGE;33;33019;DECHARGE D'AUDENGE - AUDENGE;Benne radioactive;;Autres objets (1 Bache);TFA;TFA-09;2,5;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets à base d'Uranium;;Déchets à Base d'Uranium (1 Fut 100 litres);FA-VL;DIV9-11;0,1;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co, 137Cs, 238U
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets à base d'Uranium;;Poudre acétate Uranyle (6 sachets ZIP);FA-VL;DIV9-11;0,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;235U, 238U
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets à Base de Radium;;Objets Divers Métal (0,6 m3 - 3 futs de 200l);FA-VL;DIV6-11;0,6;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets à Base de Radium;;RADF2 (0,2 m3 - 1 Fût 200l);FA-VL;DIV6-11;0,2;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;Dechets LS;;Futs a bonde (0,09 m3 - 0,064 t - 3 Bonbonnes 30l);FMA-VC;F3-7-01;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H, 60Co, 137Cs, 133Ba, 235U, 238U
ARCUEIL;94;94003;DGA - ARCUEIL;Emballages vide contaminés;;Futs vides metal Contaminés (20 fûts vides);TFA;TFA-11;2,307692308;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
ARCUEIL;94;94003;DGA - ARCUEIL;Emballages vide contaminés;;Futs vides a bonde contaminés (1 fûts a bonde);TFA;TFA-11;0,09;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H, 137Cs
ARCUEIL;94;94003;DGA - ARCUEIL;Emballages vide contaminés;;Futs vides plastiques Contaminés (1 fûts plastique);TFA;TFA-11;0,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
ARCUEIL;94;94003;DGA - ARCUEIL;Objets ou lots d'objets divers ;;Objets ou lots d'objets divers (3 m3 - 500 DIVERS);AUTRES;S01;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;90Sr, 137Cs, 226Ra, 239Pu, 240Pu, 241Am
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets SNI4;;Gravats (1 fut de 200 litre);FA-VL;DIV6-11;0,2;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets SNI4;;Scories (1 fut de 200 litres);FA-VL;DIV6-11;0,2;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co, 137Cs, 226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets SNI4;;Scories (1 fut de 200 litres);FA-VL;DIV6-11;0,2;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co, 137Cs, 238U
ARCUEIL;94;94003;DGA - ARCUEIL;Dechets DGA/Formations;;Cadran de Signalisation (0,02 m3 );AUTRES;S02;0;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;Dechets DGA/DO/UM NBC;;Dispositifs de controle (1,4 m3 - 7 fut de 200 litres);AUTRES;S01;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;Dechets DGA/DO/UM NBC;;Sources d'instruction (0,2 m3 - 1 fut de 200 litres);AUTRES;S01;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;137Cs
ARCUEIL;94;94003;DGA - ARCUEIL;Dechets DGA/DO/UM NBC;;Dispositifs divers (0,2 m3 - 1 fut de 200 litres);AUTRES;S01;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra, 239Pu, 241Am
ARCUEIL;94;94003;DGA - ARCUEIL;Dechets DGA/DO/UM NBC;;Déchets technologiques (0,2 m3 - 1 fût);TFA;TFA-11;0,2;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;137Cs
ARCUEIL;94;94003;DGA - ARCUEIL;Dechets DGA/DO/UM NBC;;Dechets technologiques (0,4 m3 - 2 fûts);TFA;TFA-11;0,4;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets à Base de Radium;;Terre Contaminée (0,1 m3 );FA-VL;DIV6-11;0,1;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;Dechets Divers;;Objets contaminés 3H (20 m3 );FMA-VC;DIV4-11;20;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
ARCUEIL;94;94003;DGA - ARCUEIL;Dechets Divers;;Dechets technologiques (1 m3 );FMA-VC;DIV4-11;1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
ARCUEIL;94;94003;DGA - ARCUEIL;Dechets Divers;;Dechets assainissements 3H (7 m3 );FMA-VC;DIV4-11;7;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets SNI4;;Métal (0,12 m3 - 0,063 t - 1 fut 120l n°1);FA-VL;DIV6-11;0,12;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;137Cs, 226Ra, 238U, 239Pu
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets SNI4;;Verre (0,12 m3 - 0,04 t - 1 fut 120l n°2);FA-VL;DIV6-11;0,12;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets SNI4;;Métal / Verre / Sable / Bois (1,5 m3 - 0,76 t - 1 Casier grillagé n°1);TFA;TFA-11;1,5;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;210Pb, 226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets SNI4;;Métal / Verre / Plastique / Bois (1,5 m3 - 0,35 t - 1 Casier grillagé n°2);TFA;TFA-11;1,5;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;137Cs, 210Pb, 226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets SI4;;Déchets technologiques (0,12 m3 - 0,047 t - 1 fut 120l n°3);FA-VL;DIV6-11;0,12;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;137Cs, 226Ra, 235U, 238U, 241Am
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets SI4;;Déchets technologiques (2 m3 - 0,152 t - 2 GRVS N°2 et N°3);TFA;TFA-11;2;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co, 137Cs, 226Ra, 241Am
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets SI4;;Plastique (0,12 m3 - 0,026 t - 1 fut 120l n°4);FA-VL;DIV6-11;0,12;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;137Cs, 226Ra, 238U, 241Am
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets SI4;;Plastique (1 m3 - 0,099 t - 1 GRVS N°1);TFA;TFA-11;1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co, 137Cs, 226Ra, 238U, 241Am
ARCUEIL;94;94003;DGA - ARCUEIL;Déchets SI4;;Déchets technologiques (0,12 m3 - 1 Fût n°5);FA-VL;DIV6-11;0,12;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets des sous-marins nucléaires et des installations de soutien à terre;;Déchets solides incinérables (1,44 m3 - 1 t - 12 fûts de 120 litres);FMA-VC;F3-7-01;0,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets des sous-marins nucléaires et des installations de soutien à terre;;Déchets divers à conditionner (5,4 m3 );TFA;TFA-11;5,4;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets des sous-marins nucléaires et des installations de soutien à terre;;Déchets métalliques en caissons de 10 m3 ou 5 m3 (agrément 7C du CEA) (25,5 m3 - 20 t - 2 caissons);FMA-VC;F3-6-04;25,5;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets des sous-marins nucléaires et des installations de soutien à terre;;Déchets métalliques en caissons de 1 m3 (8,1 m3 - 6,3 t - 6 caissons);TFA;TFA-11;8,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets des sous-marins nucléaires et des installations de soutien à terre;;Déchets métalliques en caissons de 2 m3 (25 m3 - 20 t - 9 caissons);TFA;TFA-11;25;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Autres déchets solides;;Sources de DOM 410 (0,1 m3 - 0,01 t - 62 sources);AUTRES;S01;0;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets des sous-marins nucléaires et des installations de soutien à terre;;Déchets TFA divers en bigs bags (4,4 m3 - 1,6 t - 5 big-bags);TFA;TFA-11;4,4;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets des sous-marins nucléaires et des installations de soutien à terre;;Pièges à iode (1,5 m3 - 1,1 t - 15 pièges à iode);TFA;TFA-11;1,5;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;131I
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets des sous-marins nucléaires et des installations de soutien à terre;;Filtres THE (5 m3 - 1,7 t - 25 filtres);TFA;TFA-11;5;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets des sous-marins nucléaires et des installations de soutien à terre;;Filtres air respirable (0,9 m3 - 0,13 t - 14 filtres);TFA;TFA-11;0,9;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets des sous-marins nucléaires et des installations de soutien à terre;;Déchets TFA amiantés à reconditionner (12,5 m3 - 1 t - 14 big bag);TFA;TFA-11;12,5;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets des sous-marins nucléaires et des installations de soutien à terre;;Déchets FA amiantés (0,02 m3 - 0,16 t - 1 caissons C2 ou bigs bags);FMA-VC;F3-6-04;0,02;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets des sous-marins nucléaires et des installations de soutien à terre;;Cartes électroniques dans l'attente d'un envoi à l'ANDRA (CSA) (0,1 m3 - 1 fût de 200 litres);TFA;TFA-11;0,1;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets liquides;;Eaux borées (1,3 m3 - 1,3 t - 1 cuve);FMA-VC;F3-7-01;1,04;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC DIVERS;Déchets liquides;;Liquide de scintillation (0,24 m3 - 0,24 t - 2 fûts);TFA;TFA-11;0,24;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC SNLE;Déchets métalliques provenant des six sous-marins SNLE type LE REDOUTABLE:;Le Redoutable, arrêté en 1991;"Compartiment ""réacteur-échangeurs"" (645 t - 1 1)";TFA;TFA-11;92;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC SNLE;Déchets métalliques provenant des six sous-marins SNLE type LE REDOUTABLE:;Le Terrible, arrêté en 1996;"Compartiment ""réacteur-échangeurs"" (645 t - 1 1)";TFA;TFA-11;92;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC SNLE;Déchets métalliques provenant des six sous-marins SNLE type LE REDOUTABLE:;Le Foudroyant, arrêté en 1998;"Compartiment ""réacteur-échangeurs"" (645 t - 1 1)";TFA;TFA-11;92;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC SNLE;Déchets métalliques provenant des six sous-marins SNLE type LE REDOUTABLE:;"Le Tonnant, arrêté en 1999";"Compartiment ""réacteur-échangeurs"" (645 t - 1 1)";TFA;TFA-11;92;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC SNLE;Déchets métalliques provenant des six sous-marins SNLE type LE REDOUTABLE:;L'Indomptable, arrêté en 2005;"Compartiment ""réacteur-échangeurs"" (645 t - 1 1)";TFA;TFA-11;92;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC SNLE;Déchets métalliques provenant des six sous-marins SNLE type LE REDOUTABLE:;L'Inflexible, arrêté en 2008;"Compartiment ""réacteur-échangeurs"" (645 t - 1 1)";TFA;TFA-11;92;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC SNLE;Déchets métalliques provenant des six sous-marins SNLE type LE REDOUTABLE:;Le Redoutable, arrêté en 1991;"Compartiment ""réacteur-échangeurs"" (55 t - 1 1)";FMA-VC;F3-6-04;7,975;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;55Fe, 60Co, 63Ni
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC SNLE;Déchets métalliques provenant des six sous-marins SNLE type LE REDOUTABLE:;Le Terrible, arrêté en 1996;"Compartiment ""réacteur-échangeurs "" (55 t - 1 1)";FMA-VC;F3-6-04;7,975;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;55Fe, 60Co, 63Ni
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC SNLE;Déchets métalliques provenant des six sous-marins SNLE type LE REDOUTABLE:;Le Foudroyant, arrêté en 1998;"Compartiment ""réacteur-échangeurs "" (55 t - 1 1)";FMA-VC;F3-6-04;7,975;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;55Fe, 60Co, 63Ni
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC SNLE;Déchets métalliques provenant des six sous-marins SNLE type LE REDOUTABLE:;"Le Tonnant, arrêté en 1999";"Compartiment ""réacteur-échangeurs "" (55 t - 1 1)";FMA-VC;F3-6-04;7,975;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;55Fe, 60Co, 63Ni
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC SNLE;Déchets métalliques provenant des six sous-marins SNLE type LE REDOUTABLE:;L'Indomptable, arrêté en 2005;"Compartiment ""réacteur-échangeurs "" (55 t - 1 1)";FMA-VC;F3-6-04;7,975;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;55Fe, 60Co, 63Ni
CHERBOURG-EN-COTENTIN;50;50129;DGA - CHERBOURG - ETAC SNLE;Déchets métalliques provenant des six sous-marins SNLE type LE REDOUTABLE:;L'Inflexible, arrêté en 2008;"Compartiment ""réacteur-échangeurs "" (55 t - 1 1)";FMA-VC;F3-6-04;7,975;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;55Fe, 60Co, 63Ni
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;507 électrodes de soudage WTh20;;507 electrodes contenant du TH232 (0,001 m3 - 0,001 t - 1 electrodes WTh20);FA-VL;DIV9-11;0,001;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;232Th
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;boitier commande UHF avec peinture H3;;peinture sur interrupteur a bascule contenant du H3 (0,002 m3 - 0,001 t - 1 boitier de commande UHF avec peinture H3);TFA;TFA-11;0,002;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;indicateur PUMA avec peinture H3;niveau a bulle indicateur de dérapage contenant du H3;peinture H3 (0,001 m3 - 0,0001 t - 1 ampoule niveau a bulle);TFA;TFA-11;0,001;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;répondeur IFF 3000E avec peinture H3;poste radio;tritium (0,002 m3 );TFA;TFA-11;0,002;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;Boitier allumage turbo démareur MXX H3;22 boitiers;22 boitiers allumage (0,1 m3 - 22 boitiers allumage moteur);TFA;TFA-11;0,1;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;Ampoule telemetre TM18-a H3;48000000000Bq catégorie D;ampoule h3 (0,0001 m3 - 1 ampoule 3h);TFA;TFA-11;0,0001;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;Pieces NORD 262 avec H3;17 indicateurs;17 indicateurs (0,01 m3 - 17 indicateurs);TFA;TFA-11;0,01;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;3H
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;boitier d'allumage moteur MXX avec Kr85;34 boitiers d'allumage;34 boitiers (0,1 m3 - 34 boitiers d'allumage moteur);TFA;TFA-11;0,1;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;85Kr
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;Boitier allumage PC7 avec Kr85;1 boitier;1 boitier (0,001 m3 - 1 boitier allumage moteur);TFA;TFA-11;0,001;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;85Kr
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;indicateurs NORD 262 avec Ra226;5 equippements;5 pieces (0,01 m3 - 5 indicateurs);TFA;TFA-11;0,01;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;226Ra
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;tube TR radar trajectiographie avec Co60;5 tubes;5 tubes tr (0,001 m3 - 5 tubes TR);TFA;TFA-11;0,001;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;60Co
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;Tube TR cyrano IV avec Ni63;23 tubes;23 tubes TR (0,001 m3 - 23 tubes TR);FA-VL;DIV9-11;0,001;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;63Ni
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;Proximetre SODERN DEP3 avec Am241;8 proximetres;8 proximetres (0,1 m3 - 8 proximetres);FA-VL;DIV9-11;0,1;<;Données mises à jour à chaque nouvelle édition de l'Inventaire national;241Am
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;divers pieces de Mirage F1 avec alliage Magnesium/Thorium;divers pieces mirages F1;divers pieces Mirage F1 alliage magnesium thorium (0,1 m3 - 7 debris);FA-VL;DIV9-11;0,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;232Th
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;Divers pièces NORD262 avec alliage Magnésium/Thorium;14 pièces;divers pieces alliage magnesium thorium (0,1 m3 - 14 pieces divers NORD262);FA-VL;DIV9-11;0,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;232Th
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;blocs freins NORD262 avec alliage Magnésium/Thorium TZ6;3 blocs freins;blocs freins NORD262 (0,1 m3 - 3 blocs freins);FA-VL;DIV9-11;0,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;232Th
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;couvercle de pompe NORD262 avec alliage Magnésium/Thorium TZ6;4 pièces;4 couvercles de pompe (0,01 m3 - 4 pieces pompes nord262);FA-VL;DIV9-11;0,01;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;232Th
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;contre fiche train atterissage MIRAGE IV DGA TA alliage Magnésium/Thorium;piece Mirage IV DGA TA;piece alliage magnesium thorium (0,1 m3 - 1 piece mirage IV);FA-VL;DIV9-11;0,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;232Th
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;piece Mirage III F2 DGA TA;piece alliage Magnésium/Thorium;divers (0,1 m3 - 1 piece mirage III F2);FA-VL;DIV9-11;0,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;232Th
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;Piece MIRAGE III F2 DGA TA-2;piece  alliage Magnésium/Thorium;divers (0,1 m3 - 1  alliage Magnésium/Thorium);FA-VL;DIV9-11;0,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;232Th
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;Materiaux echantillons divers DGA TA alliage Magnésium/Thorium;4 colis;divers pieces DGA TA (0,1 m3 - 4 colis echantillons divers);FA-VL;DIV9-11;0,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;232Th
LA TESTE-DE-BUCH;33;33529;DGA - DGA EV - Cazaux;manche MXX alliage Magnésium/Thorium;manche MXX;alliage Magnésium/Thorium (0,01 m3 - 1 manche MXX);FA-VL;DIV9-11;0,01;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;232Th
BALMA;31;31044;DGA - DGA TECHNIQUES AERONAUTIQUES;Déchets solides;;trapette de train avant de Mirage II F2 (0,011 t );FA-VL;DIV9-11;0,011;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;232Th
BALMA;31;31044;DGA - DGA TECHNIQUES AERONAUTIQUES;Déchets solides;;Contre fiche de train d'atterrissage de Mirage 4 (0,024 m3 - 0,0245 t - 1 élément);FA-VL;DIV9-11;0,1;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;Th, Mg
BALMA;31;31044;DGA - DGA TECHNIQUES AERONAUTIQUES;Déchets solides;;poche 1 à 4 matériaux échantillons divers en alliage magnésium thorium (0,0148 t );FA-VL;DIV9-11;0,0150072;;Données mises à jour à chaque nouvelle édition de l'Inventaire national;232Th
